201700000,彭娟水,330535199806015482,女,汉,中共预备党员,重庆市,北京市漯河市新蔡县尤的三,715175,1998/06/01,18852739628,elhnrxg@qq.com,合肥工业大学宣城校区,文法学院,法学,2017,本科,定向,英语,六级,574,n
201700001,苏雨,986879199701255169,女,汉,共青团员,湖南省,河南省三门峡市淇滨区奚的,386696,1997/01/25,17475932886,nbmhfm@163.com,合肥工业大学宣城校区,机械工程学院,机械工程,2017,本科,定向,英语,四级,573,n
201700002,李敏,314662199805010845,男,汉,共青团员,重庆市,江西省新乡市卫滨区杨淼强,696822,1998/05/01,10642546026,qjojoc@163.com,合肥工业大学宣城校区,管理学院,管理学,2017,本科,定向,英语,四级,490,n
201700003,彭秀,839792199802108644,男,汉,中共党员,江西省,陕西省平顶山市新县朱艳秀,294347,1998/02/10,16886282663,urtuqok@163.com,合肥工业大学宣城校区,计算机与信息系,计算机科学与技术,2017,本科,定向,英语,六级,554,n
201700004,周英洋,832594199605106692,男,汉,中共预备党员,云南省,甘肃省安阳市虞城县何军宇,241382,1996/05/10,10785316836,fddkkvcob@qq.com,合肥工业大学宣城校区,化工系,化学工程,2017,硕士,定向,英语,六级,649,n
201700005,沈军又,646878199605300833,男,汉,中共党员,云南省,甘肃省平顶山市陕州区陶艳叕,967829,1996/05/30,12687971624,eilvbq@qq.com,合肥工业大学宣城校区,文法学院,法学,2017,本科,定向,英语,四级,429,n
201700006,尤三又,719415199701192167,男,汉,共青团员,江苏省,天津市济源市济水街道周伟是,468296,1997/01/19,18645746822,lswsjbv@163.com,合肥工业大学宣城校区,文法学院,法学,2017,本科,定向,英语,四级,637,n
201700007,郑杰杰,470263199809071995,男,汉,共青团员,广东省,山西省许昌市嵩县郑强军,688212,1998/09/07,14772565266,ciihyce@163.com,合肥工业大学宣城校区,经济系,国际贸易,2017,本科,定向,英语,四级,649,n
201700008,王双,885671200001042683,男,汉,共青团员,宁夏回族自治区,河北省济源市轵城镇蒋第,528624,2000/01/04,14692200234,rzzyzfyd@163.com,合肥工业大学宣城校区,机械工程学院,机械工程,2017,本科,定向,英语,四级,537,n
201700009,严几几,346403200005057358,男,汉,共青团员,湖南省,四川省许昌市殷都区陈芳,227873,2000/05/05,16268619531,llokdf@qq.com,合肥工业大学宣城校区,文法学院,法学,2017,本科,定向,英语,四级,540,n
201700010,苏是磊,652434199709011354,女,水,共青团员,河南省,安徽省开封市叶县杨双淼,556581,1997/09/01,13602626661,aepvpneb@163.com,合肥工业大学宣城校区,机械工程学院,机械工程,2017,本科,定向,英语,四级,563,n
201700011,郎又秀,755851199603036901,男,汉,中共党员,天津市,北京市周口市上街区郑鑫,443853,1996/03/03,19703273162,judctfb@qq.com,合肥工业大学宣城校区,化工系,化学工程,2017,本科,定向,英语,四级,518,n
201700012,陶磊,590267199711024828,男,汉,共青团员,江苏省,辽宁省开封市山城区杨杰,524884,1997/11/02,12230846311,cibmdstk@qq.com,合肥工业大学宣城校区,管理学院,管理学,2017,本科,定向,英语,四级,555,n
201700013,郎叒淼,280699199612012795,男,汉,共青团员,黑龙江省,河南省濮阳市夏邑县韩几敏,219929,1996/12/01,14713209249,qgswmwx@163.com,合肥工业大学宣城校区,文法学院,法学,2017,硕士,定向,英语,四级,472,n
201700014,周英淼,415645200004052391,男,回,中共党员,青海省,澳门开封市浚县云丽,356332,2000/04/05,13686950459,ctsobbqq@qq.com,合肥工业大学宣城校区,经济系,国际贸易,2017,硕士,定向,英语,四级,644,n
201700015,云娜芳,029776199712109228,女,汉,共青团员,山西省,陕西省驻马店市辉县市钱艳吉,484365,1997/12/10,18537473407,oyujrt@qq.com,合肥工业大学宣城校区,管理学院,管理学,2017,本科,定向,英语,四级,550,n
201700016,云静叕,796270199705289796,男,汉,中共党员,四川省,山东省驻马店市义马市奚吉宇,583554,1997/05/28,15007807779,zsahxcsue@qq.com,合肥工业大学宣城校区,文法学院,法学,2017,本科,定向,英语,六级,629,n
201700017,冯双,052445199810120207,男,汉,共青团员,新疆维吾尔自治区,宁夏回族自治区三门峡市光山县苏叒丽,195386,1998/10/12,16571335308,rfohrfnnd@163.com,合肥工业大学宣城校区,计算机与信息系,计算机科学与技术,2017,本科,定向,英语,六级,472,n
201700018,陶几双,019863199512174243,男,汉,中共党员,内蒙古自治区,广东省安阳市辉县市曹磊杰,688893,1995/12/17,18420680902,vwqzhyojg@163.com,合肥工业大学宣城校区,管理学院,管理学,2017,本科,非定向,英语,四级,521,n
201700019,韩第叕,717125199508215657,女,汉,共青团员,海南省,内蒙古自治区焦作市华龙区孔勇叒,818176,1995/08/21,11588172296,diiobmm@163.com,合肥工业大学宣城校区,机械工程学院,机械工程,2017,本科,定向,英语,四级,608,n
