李的八机械设备有限公司,4070714292988424,李的八,12305429150,医疗、卫生单位,5275-53684637391,内蒙古自治区漯河市鄢陵县金啤雨,krksiw@163.com,082877
杨双科技有限公司,133466013978,杨双,18207163930,医疗、卫生单位,7496-34362602,湖南省洛阳市平舆县杨淼,rclxinrhmmjgt@163.com,517940
郑德建筑劳务有限公司,8591031628277301453,郑德,14541624771,艰苦行业事业,4068-922528,香港平顶山市叶县郑人娟,grmuabqliqasz@qq.com,433129
孙酒是建材有限公司,366718046854,孙酒是,14988209551,高等教育单位,8265-897288,西藏自治区漯河市尉氏县冯强,uckcjpf@163.com,339675
秦艳科技有限公司,13518748892626,秦艳,16235168263,科研设计单位,1800-58318628,陕西省济源市虞城县姜节尚,jzrmczdi@qq.com,906011
郎磊德商贸有限公司,61200314554858974535,郎磊德,12922208719,党政机关,7972-34967721,福建省开封市巩义市王艳几,fngujmzdk@qq.com,203977
潘人广告传媒有限公司,55632475404656404,潘人,17519936531,党政机关,0997-5218118,福建省平顶山市南召县潘鑫,kujapgaxdocrrj@qq.com,384071
蒋个物资有限公司,2806577169470,蒋个,12189868297,医疗、卫生单位,5647-42927023650,西藏自治区漯河市新郑市褚问,tehowvalgle@qq.com,674336
郑敏金建材有限公司,05031762976127045926,郑敏金,11993324875,其它事业单位,5480-5801325,新疆维吾尔自治区安阳市沁阳市孙八敏,dllyqajkwaczws@163.com,606630
陶问商贸有限公司,4308759408,陶问,16707225358,党政机关,4548-1336763,山西省漯河市社旗县郎洋吉,nxaoxxroyypfvn@qq.com,561782
武尚科技有限公司,850989910936936908,武尚,12782857927,中等、初等教育,5917-50421760015,湖南省开封市商水县何机他,enhvzzryilgd@qq.com,756126
何秀虎物资有限公司,3112115999014,何秀虎,15898707358,党政机关,9643-267582,新疆维吾尔自治区焦作市吉利区冯三,zboanwiqd@qq.com,193119
葛淼建筑工程有限公司,851933846006757,葛淼,18758727440,其它事业单位,7426-3864110,青海省漯河市宛城区范个,embdde@163.com,568962
魏酒艳科技实业有限公司,64199153201893,魏酒艳,16172113162,其它事业单位,3673-77247080,河南省周口市老城区郑构机,miljdvrfbk@qq.com,678976
陶吉园林有限责任公司,5018937246465,陶吉,11265896888,其它事业单位,0595-23141610774,山西省洛阳市沁阳市葛几,lprksgxlqe@163.com,579892
周德集团有限公司周德电力设备分公司,60666631017657737409,周德,17224826295,党政机关,8235-5507111,山西省许昌市罗山县曹雨虎,drnbhlumewunhi@163.com,208341
陈机个科技有限公司,557148094808543,陈机个,15305434939,国有企业,7544-557068895,河南省驻马店市宛城区韩水,yzkpsdbnq@qq.com,099612
杨人广告传媒有限公司,2475796357,杨人,16970319485,艰苦行业事业,5006-927912,浙江省信阳市项城市魏丽,qgncyaccgwi@163.com,311572
郑机建筑劳务有限公司,38269715420097741168,郑机,14971043609,党政机关,3315-69169705,四川省商丘市新野县范啤,iolfruwgkqxw@163.com,272664
姜个伟地质灾害防治有限公司,123818140896866,姜个伟,18986584709,科研设计单位,5613-789056361,甘肃省濮阳市二七区杨叒题,piaqgtqi@163.com,457663
何几雨机械设备有限公司,01214574559670846,何几雨,15194496152,医疗、卫生单位,2118-4363851,辽宁省焦作市长葛市周雨,nmkgdcehc@163.com,662118
张机服饰有限公司,8176279160508438832,张机,17750245820,国有企业,2407-9457199926,宁夏回族自治区许昌市柘城县严娟洋,plfyze@163.com,881713
许构建设工程有限公司,80246609359824,许构,15045818008,其它事业单位,8473-77554819,上海市郑州市殷都区曹个,gvpwnfdewfl@qq.com,433511
张个安防科技有限公司,323376079422533,张个,12823218071,高等教育单位,6519-5227469,江苏省漯河市扶沟县华强双,rmvrfxzbjwar@163.com,858280
金雨实业有限责任公司,0215947425,金雨,19529274110,其它事业单位,0369-2831276528,陕西省鹤壁市承留镇华题,ffdzqhysy@qq.com,600889
王三建设工程有限公司,1912705129,王三,18747127753,其它事业单位,2963-3055548854,上海市开封市大峪镇潘水尚,vmxapagatcmm@qq.com,080826
